Year,Event,Name,Medal,Gender,Country,Age,type
2012,Women's individual,Viktoria Balzhanova  Russia,Gold,Female,Russia,Unknown,INDOOR
2012,Women's individual,Inge van Caspel,Silver,Female,Netherlands,Unknown,INDOOR
2012,Women's individual,Linda Ochoa,Bronze,Female,Mexico,Unknown,INDOOR
2012,Men's individual,Bridger Deaton,Gold,Male,States,Unknown,INDOOR
2012,Men's individual,Rheinhard Louw,Silver,Male,Africa,Unknown,INDOOR
2012,Men's individual,Garrett Abernethy,Bronze,Male,States,Unknown,INDOOR
2012,Women's individual,Runa Grydeland,Gold,Female,Norway,Unknown,INDOOR
2012,Women's individual,Lexi Keller,Silver,Female,States,Unknown,INDOOR
2012,Women's individual,Contessa Loh,Bronze,Female,Singapore,Unknown,INDOOR
2014,Men's individual,Ryan Tyack,Gold,Male,Australia,Unknown,INDOOR
2014,Men's individual,Viktor Ruban,Silver,Male,Ukraine,Unknown,INDOOR
2014,Men's individual,Brady Ellison,Bronze,Male,States,Unknown,INDOOR
2014,Women's individual,Aida Roman,Gold,Female,Mexico,Unknown,INDOOR
2014,Women's individual,Miki Nakamura,Silver,Female,Japan,Unknown,INDOOR
2014,Women's individual,Anastasia Pavlova,Bronze,Female,Ukraine,Unknown,INDOOR
2014,Men's individual,Maximilian Weckmueller,Gold,Male,Germany,Unknown,INDOOR
2014,Men's individual,Carlo Schmitz,Silver,Male,Germany,Unknown,INDOOR
2014,Men's individual,David Pasqualucci,Bronze,Male,Italy,Unknown,INDOOR
2014,Women's individual,Tatiana Andreoli,Gold,Female,Italy,Unknown,INDOOR
2014,Women's individual,Ariuna Zhargalova  Russia,Silver,Female,Russia,Unknown,INDOOR
2014,Women's individual,Sylwia Zyzanska,Bronze,Female,Poland,Unknown,INDOOR
2014,Men's individual,Sergio Pagni,Gold,Male,Italy,Unknown,INDOOR
2014,Men's individual,Reo Wilde,Silver,Male,States,Unknown,INDOOR
2014,Men's individual,Stephan Hansen,Bronze,Male,Denmark,Unknown,INDOOR
2014,Women's individual,Sophie Dodemont,Gold,Female,France,Unknown,INDOOR
2014,Women's individual,Christie Colin,Silver,Female,States,Unknown,INDOOR
2014,Women's individual,Pascale Lebecque,Bronze,Female,France,Unknown,INDOOR
2014,Men's individual,Viktor Orosz,Gold,Male,Hungary,Unknown,INDOOR
2014,Men's individual,Mario Vavro,Silver,Male,Croatia,Unknown,INDOOR
2014,Men's individual,Bridger Deaton,Bronze,Male,States,Unknown,INDOOR
2014,Women's individual,Mariya Shkolna,Gold,Female,Ukraine,Unknown,INDOOR
2014,Women's individual,Emily Bee,Silver,Female,States,Unknown,INDOOR
2014,Women's individual,Lexi Keller,Bronze,Female,States,Unknown,INDOOR
2016,Men's individual,Heorhiy Ivanytskyy,Gold,Male,Ukraine,Unknown,INDOOR
2016,Men's individual,Sergii Makarevych,Silver,Male,Ukraine,Unknown,INDOOR
2016,Men's individual,Brady Ellison,Bronze,Male,States,Unknown,INDOOR
2016,Women's individual,Lisa Unruh,Gold,Female,Germany,Unknown,INDOOR
2016,Women's individual,Natalia Lesniak,Silver,Female,Poland,Unknown,INDOOR
2016,Women's individual,Claudia Mandia,Bronze,Female,Italy,Unknown,INDOOR
2016,Men's individual,David Pasqualucci,Gold,Male,Italy,Unknown,INDOOR
2016,Men's individual,Dan Olaru  Moldova,Silver,Male,Moldova,Unknown,INDOOR
2016,Men's individual,Rok Bizjak,Bronze,Male,Slovenia,Unknown,INDOOR
2016,Women's individual,Su Szu-Ping  Chinese Taipei,Gold,Female,Taipei,Unknown,INDOOR
2016,Women's individual,Tatiana Andreoli,Silver,Female,Italy,Unknown,INDOOR
2016,Women's individual,Chang Rong-Jia  Chinese Taipei,Bronze,Female,Taipei,Unknown,INDOOR
2016,Men's individual,Sebastien Peineau,Gold,Male,France,Unknown,INDOOR
2016,Men's individual,Mike Schloesser,Silver,Male,Netherlands,Unknown,INDOOR
2016,Men's individual,Omid Taheri  Iran,Bronze,Male,Iran,Unknown,INDOOR
2016,Women's individual,Irene Franchini,Gold,Female,Italy,Unknown,INDOOR
2016,Women's individual,Albina Loginova  Russia,Silver,Female,Russia,Unknown,INDOOR
2016,Women's individual,Sarah Prieels,Bronze,Female,Belgium,Unknown,INDOOR
2016,Men's individual,Viktor Orosz,Gold,Male,Hungary,Unknown,INDOOR
2016,Men's individual,Christos Aerikos,Silver,Male,Greece,Unknown,INDOOR
2016,Men's individual,Anton Bulaev  Russia,Bronze,Male,Russia,Unknown,INDOOR
2016,Women's individual,Lucia Valeria Chavarria,Gold,Female,Mexico,Unknown,INDOOR
2016,Women's individual,Cassidy Cox,Silver,Female,States,Unknown,INDOOR
2016,Women's individual,Athena Caiopoulos,Bronze,Female,States,Unknown,INDOOR
2018,Men's individualdetails,Sjef van den Berg,Gold,Male,Netherlands,Unknown,INDOOR
2018,Men's individualdetails,Daisuke Tomatsu,Silver,Male,Japan,Unknown,INDOOR
2018,Men's individualdetails,Taylor Worth,Bronze,Male,Australia,Unknown,INDOOR
2018,Women's individualdetails,Elena Richter,Gold,Female,Germany,Unknown,INDOOR
2018,Women's individualdetails,Aída Román,Silver,Female,Mexico,Unknown,INDOOR
2018,Women's individualdetails,Audrey Adiceom,Bronze,Female,France,Unknown,INDOOR
2018,Men's individual,Ivan Kozhokar,Gold,Male,Ukraine,Unknown,INDOOR
2018,Men's individual,Mete Gazoz  Turkey,Silver,Male,Turkey,Unknown,INDOOR
2018,Men's individual,Oleksandr Pantsyru,Bronze,Male,Ukraine,Unknown,INDOOR
2018,Women's individual,Ariuna Budaeva  Russia,Gold,Female,Russia,Unknown,INDOOR
2018,Women's individual,Svetlana Gomboeva  Russia,Silver,Female,Russia,Unknown,INDOOR
2018,Women's individual,Sandra Garza,Bronze,Female,Mexico,Unknown,INDOOR
2018,Men's individualdetails,Mike Schloesser,Gold,Male,Netherlands,Unknown,INDOOR
2018,Men's individualdetails,Sergio Pagni,Silver,Male,Italy,Unknown,INDOOR
2018,Men's individualdetails,Jesse Broadwater,Bronze,Male,States,Unknown,INDOOR
2018,Women's individualdetails,Natalia Avdeeva  Russia,Gold,Female,Russia,Unknown,INDOOR
2018,Women's individualdetails,Yeşim Bostan  Turkey,Silver,Female,Turkey,Unknown,INDOOR
2018,Women's individualdetails,Dawn Groszko,Bronze,Female,Canada,Unknown,INDOOR
2018,Men's individual,Simon Olsen,Gold,Male,Denmark,Unknown,INDOOR
2018,Men's individual,Curtis Broadnax,Silver,Male,States,Unknown,INDOOR
2018,Men's individual,Remy Leonard,Bronze,Male,Australia,Unknown,INDOOR
2018,Women's individual,Cassidy Cox,Gold,Female,States,Unknown,INDOOR
2018,Women's individual,Elisa Roner,Silver,Female,Italy,Unknown,INDOOR
2018,Women's individual,Asstrid Alanis,Bronze,Female,Mexico,Unknown,INDOOR
1969,Barebow Men's individual,Warren Cowles,Gold,Male,Cowles,Unknown,FIELD
1969,Barebow Men's individual,Emil Lehan,Silver,Male,Lehan,Unknown,FIELD
1969,Barebow Men's individual,Pekka Mertanen,Bronze,Male,Mertanen,Unknown,FIELD
1969,Freestyle Men's individual,Richard Branstetter Jr.,Gold,Male,Unknown,Unknown,FIELD
1969,Freestyle Men's individual,Hans Wright,Silver,Male,Wright,Unknown,FIELD
1969,Freestyle Men's individual,Kyösti Laasonen,Bronze,Male,Laasonen,Unknown,FIELD
1969,Barebow Women's individual,Raye Dabelow,Gold,Female,Dabelow,Unknown,FIELD
1969,Barebow Women's individual,Ingegard Grandqvist,Silver,Female,Grandqvist,Unknown,FIELD
1969,Barebow Women's individual,La Rue Bruce,Bronze,Female,Bruce,Unknown,FIELD
1969,Freestyle Women's individual,Irma Danielsson,Gold,Female,Danielsson,Unknown,FIELD
1969,Freestyle Women's individual,Kerstin Beije,Silver,Female,Beije,Unknown,FIELD
1969,Freestyle Women's individual,Janet Ashbaugh,Bronze,Female,Ashbaugh,Unknown,FIELD
1970,Instinctive Men's individual,Elmer Moore,Gold,Male,Moore,Unknown,FIELD
1970,Instinctive Men's individual,Leif Berggren,Silver,Male,Berggren,Unknown,FIELD
1970,Instinctive Men's individual,Soren Wikingsson,Bronze,Male,Wikingsson,Unknown,FIELD
1970,Freestyle Men's individual,Stephen Lieberman,Gold,Male,Lieberman,Unknown,FIELD
1970,Freestyle Men's individual,Derek Gunson,Silver,Male,Gunson,Unknown,FIELD
1970,Freestyle Men's individual,Christopher Labucki,Bronze,Male,Labucki,Unknown,FIELD
1970,Instinctive Women's individual,Eunice Schewe,Gold,Female,Schewe,Unknown,FIELD
1970,Instinctive Women's individual,Ingegerd Grandqvist,Silver,Female,Grandqvist,Unknown,FIELD
1970,Instinctive Women's individual,Ester Lindgren,Bronze,Female,Lindgren,Unknown,FIELD
1970,Freestyle Women's individual,Sonia Johansson,Gold,Female,Johansson,Unknown,FIELD
1970,Freestyle Women's individual,Maureen Bechdolt,Silver,Female,Bechdolt,Unknown,FIELD
1970,Freestyle Women's individual,Barbara Brown,Bronze,Female,Brown,Unknown,FIELD
1972,Instinctive Men's individual,Leif Berggren,Gold,Male,Berggren,Unknown,FIELD
1972,Instinctive Men's individual,Kjell Karlsson,Silver,Male,Karlsson,Unknown,FIELD
1972,Instinctive Men's individual,Veijo Sarvi,Bronze,Male,Sarvi,Unknown,FIELD
1972,Freestyle Men's individual,John Williams,Gold,Male,Williams,Unknown,FIELD
1972,Freestyle Men's individual,Dennis McComak,Silver,Male,McComak,Unknown,FIELD
1972,Freestyle Men's individual,Erik Karlsson,Bronze,Male,Karlsson,Unknown,FIELD
1972,Instinctive Women's individual,Ingegerd Grandqvist,Gold,Female,Grandqvist,Unknown,FIELD
1972,Instinctive Women's individual,Barbara Fielding,Silver,Female,Fielding,Unknown,FIELD
1972,Instinctive Women's individual,Eunice Schewe,Bronze,Female,Schewe,Unknown,FIELD
1972,Freestyle Women's individual,Maureen Bechdolt,Gold,Female,Bechdolt,Unknown,FIELD
1972,Freestyle Women's individual,Maj-Britt Johansson,Silver,Female,Johansson,Unknown,FIELD
1972,Freestyle Women's individual,Irma Danielsson,Bronze,Female,Danielsson,Unknown,FIELD
1974,Barebow Men's individual,Leif Berggren,Gold,Male,Berggren,Unknown,FIELD
1974,Barebow Men's individual,Veijo Sarvi,Silver,Male,Sarvi,Unknown,FIELD
1974,Barebow Men's individual,Frank Ditzler,Bronze,Male,Ditzler,Unknown,FIELD
1974,Freestyle Men's individual,Doug Brothers,Gold,Male,Brothers,Unknown,FIELD
1974,Freestyle Men's individual,Rick Stonebraker,Silver,Male,Stonebraker,Unknown,FIELD
1974,Freestyle Men's individual,Tommy Persson,Bronze,Male,Persson,Unknown,FIELD
1974,Barebow Women's individual,Eunice Schewe,Gold,Female,Schewe,Unknown,FIELD
1974,Barebow Women's individual,Ingegerd Grandqvist,Silver,Female,Grandqvist,Unknown,FIELD
1974,Barebow Women's individual,Anita Järveläinen,Bronze,Female,Järveläinen,Unknown,FIELD
1974,Freestyle Women's individual,Lucille Lessard,Gold,Female,Lessard,Unknown,FIELD
1974,Freestyle Women's individual,Ruth Wallace,Silver,Female,Wallace,Unknown,FIELD
1974,Freestyle Women's individual,Ida Dapoian,Bronze,Female,Dapoian,Unknown,FIELD
1976,Barebow Men's individual,Jukka Virtanen,Gold,Male,Virtanen,Unknown,FIELD
1976,Barebow Men's individual,Veijo Sarvi,Silver,Male,Sarvi,Unknown,FIELD
1976,Barebow Men's individual,Frank Ditzler,Bronze,Male,Ditzler,Unknown,FIELD
1976,Freestyle Men's individual,Tommy Persson,Gold,Male,Persson,Unknown,FIELD
1976,Freestyle Men's individual,Gert Bjerendal,Silver,Male,Bjerendal,Unknown,FIELD
1976,Freestyle Men's individual,Larry Smith,Bronze,Male,Smith,Unknown,FIELD
1976,Barebow Women's individual,Shirley Sandiford,Gold,Female,Sandiford,Unknown,FIELD
1976,Barebow Women's individual,Barbara Fielding,Silver,Female,Fielding,Unknown,FIELD
1976,Barebow Women's individual,Anita Järveläinen,Bronze,Female,Järveläinen,Unknown,FIELD
1976,Freestyle Women's individual,Annemarie Lehmann,Gold,Female,Lehmann,Unknown,FIELD
1976,Freestyle Women's individual,Irene Daubenspeck,Silver,Female,Daubenspeck,Unknown,FIELD
1976,Freestyle Women's individual,Barbro Lindqvist,Bronze,Female,Lindqvist,Unknown,FIELD
1978,Instinctive Men's individual,Anders Rosenberg,Gold,Male,Rosenberg,Unknown,FIELD
1978,Instinctive Men's individual,Pekka Mertanen,Silver,Male,Mertanen,Unknown,FIELD
1978,Instinctive Men's individual,Mats Palmer,Bronze,Male,Palmer,Unknown,FIELD
1978,Freestyle Men's individual,Darrell Pace,Gold,Male,Pace,Unknown,FIELD
1978,Freestyle Men's individual,Richard McKinney,Silver,Male,McKinney,Unknown,FIELD
1978,Freestyle Men's individual,Gert Bjerendal,Bronze,Male,Bjerendal,Unknown,FIELD
1978,Instinctive Women's individual,Suizuki Kubuchi,Gold,Female,Kubuchi,Unknown,FIELD
1978,Instinctive Women's individual,Anne Cecchini,Silver,Female,Cecchini,Unknown,FIELD
1978,Instinctive Women's individual,Ingegard Grandqvist,Bronze,Female,Grandqvist,Unknown,FIELD
1978,Freestyle Women's individual,Annemarie Lehmann,Gold,Female,Lehmann,Unknown,FIELD
1978,Freestyle Women's individual,Ursula Valenta,Silver,Female,Valenta,Unknown,FIELD
1978,Freestyle Women's individual,Irene Daubenspeck,Bronze,Female,Daubenspeck,Unknown,FIELD
1980,Instinctive Men's individual,Anders Rosenberg,Gold,Male,Rosenberg,Unknown,FIELD
1980,Instinctive Men's individual,Lars Weren,Silver,Male,Weren,Unknown,FIELD
1980,Instinctive Men's individual,Roy Mundon,Bronze,Male,Mundon,Unknown,FIELD
1980,Freestyle Men's individual,Tommy Persson,Gold,Male,Persson,Unknown,FIELD
1980,Freestyle Men's individual,Richard McKinney,Silver,Male,McKinney,Unknown,FIELD
1980,Freestyle Men's individual,Kyösti Laasonen,Bronze,Male,Laasonen,Unknown,FIELD
1980,Instinctive Women's individual,Sirpa Kontilla,Gold,Female,Kontilla,Unknown,FIELD
1980,Instinctive Women's individual,Suizuki Kubuchi,Silver,Female,Kubuchi,Unknown,FIELD
1980,Instinctive Women's individual,Adriana Stoppa,Bronze,Female,Stoppa,Unknown,FIELD
1980,Freestyle Women's individual,Carita Jussila,Gold,Female,Jussila,Unknown,FIELD
1980,Freestyle Women's individual,Silvana Velia,Silver,Female,Velia,Unknown,FIELD
1980,Freestyle Women's individual,Annemarie Lehmann,Bronze,Female,Lehmann,Unknown,FIELD
1982,Barebow Men's individual,Anders Rosenberg,Gold,Male,Rosenberg,Unknown,FIELD
1982,Barebow Men's individual,Jaarmo Hilli,Silver,Male,Hilli,Unknown,FIELD
1982,Barebow Men's individual,Lars Weren,Bronze,Male,Weren,Unknown,FIELD
1982,Freestyle Men's individual,Tommy Quick,Gold,Male,Quick,Unknown,FIELD
1982,Freestyle Men's individual,Kyösti Laasonen,Silver,Male,Laasonen,Unknown,FIELD
1982,Freestyle Men's individual,Gjert Bjerendal,Bronze,Male,Bjerendal,Unknown,FIELD
1982,Barebow Women's individual,Annie Dardenne,Gold,Female,Dardenne,Unknown,FIELD
1982,Barebow Women's individual,Adriana Stoppa,Silver,Female,Stoppa,Unknown,FIELD
1982,Barebow Women's individual,Sirpa Kontilla,Bronze,Female,Kontilla,Unknown,FIELD
1982,Freestyle Women's individual,Carita Jussila,Gold,Female,Jussila,Unknown,FIELD
1982,Freestyle Women's individual,Angela Goodall,Silver,Female,Goodall,Unknown,FIELD
1982,Freestyle Women's individual,Ursula Valenta,Bronze,Female,Valenta,Unknown,FIELD
1984,Barebow Men's individual,Lars Weren,Gold,Male,Weren,Unknown,FIELD
1984,Barebow Men's individual,Timo Heikkinen,Silver,Male,Heikkinen,Unknown,FIELD
1984,Barebow Men's individual,Anders Rosenberg,Bronze,Male,Rosenberg,Unknown,FIELD
1984,Freestyle Men's individual,Gjert Bjerendal,Gold,Male,Bjerendal,Unknown,FIELD
1984,Freestyle Men's individual,Richard McKinney,Silver,Male,McKinney,Unknown,FIELD
1984,Freestyle Men's individual,Kyösti Laasonen,Bronze,Male,Laasonen,Unknown,FIELD
1984,Barebow Women's individual,Guissepina Meini,Gold,Female,Meini,Unknown,FIELD
1984,Barebow Women's individual,Tatiana Zurek,Silver,Female,Zurek,Unknown,FIELD
1984,Barebow Women's individual,Ulla Forsell,Bronze,Female,Forsell,Unknown,FIELD
1984,Freestyle Women's individual,Lisa Buscombe,Gold,Female,Buscombe,Unknown,FIELD
1984,Freestyle Women's individual,Angela Goodall,Silver,Female,Goodall,Unknown,FIELD
1984,Freestyle Women's individual,Christine Meier,Bronze,Female,Meier,Unknown,FIELD
1986,Barebow Men's individual,Mats Palmer,Gold,Male,Palmer,Unknown,FIELD
1986,Barebow Men's individual,Anders Rosenberg,Silver,Male,Rosenberg,Unknown,FIELD
1986,Barebow Men's individual,Wolfgang Sedmark,Bronze,Male,Sedmark,Unknown,FIELD
1986,Freestyle Men's individual,Göran Bjerendal,Gold,Male,Bjerendal,Unknown,FIELD
1986,Freestyle Men's individual,Gjert Bjerendal,Silver,Male,Bjerendal,Unknown,FIELD
1986,Freestyle Men's individual,Herbert Reingruber,Bronze,Male,Reingruber,Unknown,FIELD
1986,Barebow Women's individual,Annie Dardenne,Gold,Female,Dardenne,Unknown,FIELD
1986,Barebow Women's individual,Erika Mok,Silver,Female,Mok,Unknown,FIELD
1986,Barebow Women's individual,Guissepina Meini,Bronze,Female,Meini,Unknown,FIELD
1986,Freestyle Women's individual,Carita Jussila,Gold,Female,Jussila,Unknown,FIELD
1986,Freestyle Women's individual,Lisa Buscombe,Silver,Female,Buscombe,Unknown,FIELD
1986,Freestyle Women's individual,Catherine Pellen,Bronze,Female,Pellen,Unknown,FIELD
1986,Barebow Men's individual,Izidor Pozar,Gold,Male,Pozar,Unknown,FIELD
1986,Barebow Men's individual,Olli Sarv,Silver,Male,Sarv,Unknown,FIELD
1986,Barebow Men's individual,Fredrik Hallquist,Bronze,Male,Hallquist,Unknown,FIELD
1986,Freestyle Men's individual,Simon Pavlin,Gold,Male,Pavlin,Unknown,FIELD
1986,Freestyle Men's individual,Thorsten Sauter,Silver,Male,Sauter,Unknown,FIELD
1986,Freestyle Men's individual,Damiano Scaramuzza,Bronze,Male,Scaramuzza,Unknown,FIELD
1988,Barebow Men's individual,Michele Oneto,Gold,Male,Oneto,Unknown,FIELD
1988,Barebow Men's individual,Jarmo Hilli,Silver,Male,Hilli,Unknown,FIELD
1988,Barebow Men's individual,Wolfgang Sedmak,Bronze,Male,Sedmak,Unknown,FIELD
1988,Freestyle Men's individual,Andrea Parenti,Gold,Male,Parenti,Unknown,FIELD
1988,Freestyle Men's individual,Ole Gammelgaard,Silver,Male,Gammelgaard,Unknown,FIELD
1988,Freestyle Men's individual,Jay Barrs,Bronze,Male,Barrs,Unknown,FIELD
1988,Barebow Women's individual,Guissepina Meini,Gold,Female,Meini,Unknown,FIELD
1988,Barebow Women's individual,Erika Mok,Silver,Female,Mok,Unknown,FIELD
1988,Barebow Women's individual,Nadine Visconti,Bronze,Female,Visconti,Unknown,FIELD
1988,Freestyle Women's individual,Liselott Andersson,Gold,Female,Andersson,Unknown,FIELD
1988,Freestyle Women's individual,Catherine Pellen,Silver,Female,Pellen,Unknown,FIELD
1988,Freestyle Women's individual,Carita Jussila,Bronze,Female,Jussila,Unknown,FIELD
1988,Barebow Men's individual,Thomas Mulleman,Gold,Male,Mulleman,Unknown,FIELD
1988,Barebow Men's individual,Peter Rasmusson,Silver,Male,Rasmusson,Unknown,FIELD
1988,Barebow Men's individual,Gabriele Seghetta,Bronze,Male,Seghetta,Unknown,FIELD
1988,Freestyle Men's individual,Andreas Lorenz,Gold,Male,Lorenz,Unknown,FIELD
1988,Freestyle Men's individual,Martial Simon,Silver,Male,Simon,Unknown,FIELD
1988,Freestyle Men's individual,Matthew Gray,Bronze,Male,Gray,Unknown,FIELD
1988,Freestyle Women's individual,Carole Ferriou,Gold,Female,Ferriou,Unknown,FIELD
1988,Freestyle Women's individual,Barbara Gheza,Silver,Female,Gheza,Unknown,FIELD
1988,Freestyle Women's individual,Deonne Bridger,Bronze,Female,Bridger,Unknown,FIELD
1990,Barebow Men's individual,Mats Palmer,Gold,Male,Palmer,Unknown,FIELD
1990,Barebow Men's individual,Tony Pitt-Lancaster,Silver,Male,Lancaster,Unknown,FIELD
1990,Barebow Men's individual,Roy Mundon,Bronze,Male,Mundon,Unknown,FIELD
1990,Freestyle Men's individual,Jay Barrs,Gold,Male,Barrs,Unknown,FIELD
1990,Freestyle Men's individual,Simon Fairweather,Silver,Male,Fairweather,Unknown,FIELD
1990,Freestyle Men's individual,Frances Noteboom,Bronze,Male,Noteboom,Unknown,FIELD
1990,Compound Men's individual,Randall Ulmer,Gold,Male,Ulmer,Unknown,FIELD
1990,Compound Men's individual,Leigh Cornish,Silver,Male,Cornish,Unknown,FIELD
1990,Compound Men's individual,Niels Baldur,Bronze,Male,Baldur,Unknown,FIELD
1990,Barebow Women's individual,Nadine Visconti,Gold,Female,Visconti,Unknown,FIELD
1990,Barebow Women's individual,Giuseppina Meini,Silver,Female,Meini,Unknown,FIELD
1990,Barebow Women's individual,Catarina Digreuw,Bronze,Female,Digreuw,Unknown,FIELD
1990,Freestyle Women's individual,Carole Ferriou,Gold,Female,Ferriou,Unknown,FIELD
1990,Freestyle Women's individual,Jenny Sjowall,Silver,Female,Sjowall,Unknown,FIELD
1990,Freestyle Women's individual,Kitty Frazier,Bronze,Female,Frazier,Unknown,FIELD
1990,Compound Women's individual,Ann Shepherd,Gold,Female,Shepherd,Unknown,FIELD
1990,Compound Women's individual,Valérie Fabre,Silver,Female,Fabre,Unknown,FIELD
1990,Compound Women's individual,Carmen Ceriotti,Bronze,Female,Ceriotti,Unknown,FIELD
1992,Barebow Men's individual,Anders Rosenberg,Gold,Male,Rosenberg,Unknown,FIELD
1992,Barebow Men's individual,Mats Palmer,Silver,Male,Palmer,Unknown,FIELD
1992,Barebow Men's individual,Jean-François Maranzana,Bronze,Male,Maranzana,Unknown,FIELD
1992,Freestyle Men's individual,Jay Barrs,Gold,Male,Barrs,Unknown,FIELD
1992,Freestyle Men's individual,Jean-Paul Laury,Silver,Male,Laury,Unknown,FIELD
1992,Freestyle Men's individual,Göran Bjerendal,Bronze,Male,Bjerendal,Unknown,FIELD
1992,Compound Men's individual,Morgan Lundin,Gold,Male,Lundin,Unknown,FIELD
1992,Compound Men's individual,Niels Baldur,Silver,Male,Baldur,Unknown,FIELD
1992,Compound Men's individual,Paw Lassen,Bronze,Male,Lassen,Unknown,FIELD
1992,Barebow Women's individual,Nadine Visconti,Gold,Female,Visconti,Unknown,FIELD
1992,Barebow Women's individual,Trish Lovell,Silver,Female,Lovell,Unknown,FIELD
1992,Barebow Women's individual,Christina Turolla,Bronze,Female,Turolla,Unknown,FIELD
1992,Freestyle Women's individual,Carole Ferriou,Gold,Female,Ferriou,Unknown,FIELD
1992,Freestyle Women's individual,Catherine Pellen,Silver,Female,Pellen,Unknown,FIELD
1992,Freestyle Women's individual,Judi Adams,Bronze,Female,Adams,Unknown,FIELD
1992,Compound Women's individual,Susanne Kessler,Gold,Female,Kessler,Unknown,FIELD
1992,Compound Women's individual,Cecile Loutan,Silver,Female,Loutan,Unknown,FIELD
1992,Compound Women's individual,Valérie Fabre,Bronze,Female,Fabre,Unknown,FIELD
1994,Barebow Men's individual,Alessandro Gaudenti,Gold,Male,Gaudenti,Unknown,FIELD
1994,Barebow Men's individual,Bob Burns,Silver,Male,Burns,Unknown,FIELD
1994,Barebow Men's individual,Ladislav Voboril,Bronze,Male,Voboril,Unknown,FIELD
1994,Freestyle Men's individual,Andrea Parenti,Gold,Male,Parenti,Unknown,FIELD
1994,Freestyle Men's individual,Sven Giesa,Silver,Male,Giesa,Unknown,FIELD
1994,Freestyle Men's individual,Matthew Gray,Bronze,Male,Gray,Unknown,FIELD
1994,Compound Men's individual,Tom Henriksen,Gold,Male,Henriksen,Unknown,FIELD
1994,Compound Men's individual,Mario Ruele,Silver,Male,Ruele,Unknown,FIELD
1994,Compound Men's individual,Michael Leiter,Bronze,Male,Leiter,Unknown,FIELD
1994,Barebow Women's individual,Odile Boussière,Gold,Female,Boussière,Unknown,FIELD
1994,Barebow Women's individual,Marie Palm,Silver,Female,Palm,Unknown,FIELD
1994,Barebow Women's individual,Jutta Schneider,Bronze,Female,Schneider,Unknown,FIELD
1994,Freestyle Women's individual,Jenny Sjouall,Gold,Female,Sjouall,Unknown,FIELD
1994,Freestyle Women's individual,Carina Henriksson,Silver,Female,Henriksson,Unknown,FIELD
1994,Freestyle Women's individual,Hedi Mittermaier,Bronze,Female,Mittermaier,Unknown,FIELD
1994,Compound Women's individual,Michelle Ragsdale,Gold,Female,Ragsdale,Unknown,FIELD
1994,Compound Women's individual,Petra Eriksson,Silver,Female,Eriksson,Unknown,FIELD
1994,Compound Women's individual,Susanne Kessler,Bronze,Female,Kessler,Unknown,FIELD
1996,Barebow Men's individual,Rensco Van Wees,Gold,Male,Wees,Unknown,FIELD
1996,Barebow Men's individual,Twan Cleven,Silver,Male,Cleven,Unknown,FIELD
1996,Barebow Men's individual,Matthias Larsson,Bronze,Male,Larsson,Unknown,FIELD
1996,Recurve Men's individual,Andrea Parenti,Gold,Male,Parenti,Unknown,FIELD
1996,Recurve Men's individual,Francis Notenboom,Silver,Male,Notenboom,Unknown,FIELD
1996,Recurve Men's individual,Jon Shales,Bronze,Male,Shales,Unknown,FIELD
1996,Compound Men's individual,Jeff Button,Gold,Male,Button,Unknown,FIELD
1996,Compound Men's individual,Janos Povazson,Silver,Male,Povazson,Unknown,FIELD
1996,Compound Men's individual,Stephane Dardenne,Bronze,Male,Dardenne,Unknown,FIELD
1996,Barebow Women's individual,Odile Boussière,Gold,Female,Boussière,Unknown,FIELD
1996,Barebow Women's individual,Trish Lovell,Silver,Female,Lovell,Unknown,FIELD
1996,Barebow Women's individual,Marie Palm,Bronze,Female,Palm,Unknown,FIELD
1996,Recurve Women's individual,Carole Ferriou,Gold,Female,Ferriou,Unknown,FIELD
1996,Recurve Women's individual,Hedi Mittermaier,Silver,Female,Mittermaier,Unknown,FIELD
1996,Recurve Women's individual,Janet Barrs,Bronze,Female,Barrs,Unknown,FIELD
1996,Compound Women's individual,Petra Eriksson,Gold,Female,Eriksson,Unknown,FIELD
1996,Compound Women's individual,Nicole Bartlett,Silver,Female,Bartlett,Unknown,FIELD
1996,Compound Women's individual,Jozica Emersic,Bronze,Female,Emersic,Unknown,FIELD
1998,Compound Men's individual,Peter Andersson,Gold,Male,Andersson,Unknown,FIELD
1998,Compound Men's individual,Dave Cousins,Silver,Male,Cousins,Unknown,FIELD
1998,Compound Men's individual,Niels Badur,Bronze,Male,Badur,Unknown,FIELD
1998,Recurve Men's individual,Jon Shales,Gold,Male,Shales,Unknown,FIELD
1998,Recurve Men's individual,Michele Frangilli,Silver,Male,Frangilli,Unknown,FIELD
1998,Recurve Men's individual,Geert Van Berkel,Bronze,Male,Berkel,Unknown,FIELD
1998,Barebow Men's individual,Erik Jonsson,Gold,Male,Jonsson,Unknown,FIELD
1998,Barebow Men's individual,Matthias Larsson,Silver,Male,Larsson,Unknown,FIELD
1998,Barebow Men's individual,Marjan Podrzaj,Bronze,Male,Podrzaj,Unknown,FIELD
1998,Compound Women's individual,Catherine Pellen,Gold,Female,Pellen,Unknown,FIELD
1998,Compound Women's individual,Michelle Ragsdale,Silver,Female,Ragsdale,Unknown,FIELD
1998,Compound Women's individual,Becky Pearson,Bronze,Female,Pearson,Unknown,FIELD
1998,Recurve Women's individual,Sabine Mayrhofer,Gold,Female,Mayrhofer,Unknown,FIELD
