,Name,Sex,Age,Year,Event,Medal,Event_Type,Season
190572,Tomi Jaakko Poikolainen,M,18,1980,Archery Men's Individual,Gold,Individual,Summer
194996,Lonce Gaston Quentin,M,40,1920,"Archery Men's Target Archery, 28 metres, Individual",Silver,Individual,Summer
203567,Ada Nabila Romn Arroyo,F,24,2012,Archery Women's Individual,Silver,Individual,Summer
205489,Viktor Hennadiyovych Ruban,M,27,2008,Archery Men's Individual,Gold,Individual,Summer
206483,Zebinisso Sanginovna Rustamova,F,21,1976,Archery Women's Individual,Bronze,Individual,Summer
206995,Luann Marie Ryon,F,23,1976,Archery Women's Individual,Gold,Individual,Summer
207574,Olena Anatolivna Sadovnycha,F,28,1996,Archery Women's Individual,Bronze,Individual,Summer
216482,Seo Hyang-Sun,F,17,1984,Archery Women's Individual,Gold,Individual,Summer
216862,Auguste Serrurier,M,43,1900,Archery Men's Sur La Perche a La Herse,Silver,Individual,Summer
216863,Auguste Serrurier,M,43,1900,Archery Men's Sur La Perche a La Pyramide,Silver,Individual,Summer
234597,Irena Szydowska,F,44,1972,Archery Women's Individual,Silver,Individual,Summer
237949,Simon Duncan Terry,M,18,1992,Archery Men's Individual,Bronze,Individual,Summer
238657,Victor Thibault,M,33,1900,"Archery Men's Au Chapelet, 33 metres",Silver,Individual,Summer
238658,Victor Thibault,M,33,1900,"Archery Men's Au Cordon Dore, 33 metres",Silver,Individual,Summer
246340,Lisa Unruh,F,28,2016,Archery Women's Individual,Silver,Individual,Summer
247507,Natalia Valeeva,F,22,1992,Archery Women's Individual,Bronze,Individual,Summer
247717,Jean-Charles Valladont,M,27,2016,Archery Men's Individual,Silver,Individual,Summer
247957,Wietse Cornelis van Alten,M,21,2000,Archery Men's Individual,Bronze,Individual,Summer
248198,Louis Van De Perck,M,33,1920,"Archery Men's Pole Archery, Small Birds, Individual",Silver,Individual,Summer
248199,Louis Van De Perck,M,33,1920,"Archery Men's Pole Archery, Large Birds, Individual",Silver,Individual,Summer
249066,Gerard Theodor Hubert Van Innis,M,34,1900,"Archery Men's Au Chapelet, 33 metres",Gold,Individual,Summer
249068,Gerard Theodor Hubert Van Innis,M,34,1900,"Archery Men's Au Cordon Dore, 33 metres",Gold,Individual,Summer
249069,Gerard Theodor Hubert Van Innis,M,34,1900,"Archery Men's Au Cordon Dore, 50 metres",Silver,Individual,Summer
249070,Gerard Theodor Hubert Van Innis,M,34,1900,Archery Men's Championnat Du Monde,Silver,Individual,Summer
249071,Gerard Theodor Hubert Van Innis,M,54,1920,"Archery Men's Target Archery, 28 metres, Individual",Gold,Individual,Summer
249072,Gerard Theodor Hubert Van Innis,M,54,1920,"Archery Men's Target Archery, 33 metres, Individual",Gold,Individual,Summer
249073,Gerard Theodor Hubert Van Innis,M,54,1920,"Archery Men's Target Archery, 50 metres, Individual",Silver,Individual,Summer
249245,Edmond Van Moer,M,33,1920,"Archery Men's Pole Archery, Small Birds, Individual",Gold,Individual,Summer
251762,Pierre Louis Vernet,M,37,1908,Archery Men's Continental Style,Silver,Individual,Summer
256570,Wang Hui-Gyeong,F,18,1988,Archery Women's Individual,Silver,Individual,Summer
260528,Doreen Viola Wilber (Hansen-),F,42,1972,Archery Women's Individual,Gold,Individual,Summer
261007,John Chester Williams,M,18,1972,Archery Men's Individual,Gold,Individual,Summer
261210,Alison Jane Williamson (-Conaghan),F,32,2004,Archery Women's Individual,Bronze,Individual,Summer
263511,"Victor Steven ""Vic"" Wunderle",M,24,2000,Archery Men's Individual,Silver,Individual,Summer
264368,Hiroshi Yamamoto,M,21,1984,Archery Men's Individual,Bronze,Individual,Summer
264374,Hiroshi Yamamoto,M,41,2004,Archery Men's Individual,Silver,Individual,Summer
265621,Vladimir Nikolayevich Yesheyev,M,30,1988,Archery Men's Individual,Bronze,Individual,Summer
266799,Yun Mi-Jin,F,17,2000,Archery Women's Individual,Gold,Individual,Summer
266810,Yun Ok-Hui,F,23,2008,Archery Women's Individual,Bronze,Individual,Summer
266827,Yun Yeong-Suk,F,17,1988,Archery Women's Individual,Bronze,Individual,Summer
268811,Zhang Juanjuan,F,27,2008,Archery Women's Individual,Gold,Individual,Summer
